Title,description,authors,publishedDate,categories
Strength Among Women,"A woman's guide to strength training offers helpful instruction in how to get in shape and beat the aging process with a sensible, effective program for home or gym that can be modified according to age and skill level. Original.",['Joan Pagano'],2005,['Health & Fitness']
Revelation: Elham,The Light of Guidance (Nur-ul-Huda) is amongst one of the most notable works by Sultan-ul-Arifeen Sultan Bahoo - renowned Sufi and 17th-century poet of the Indo-Pak sub-Continent - originally written in Persian and now beautifully translated into English by M. A. Khan and foreword by Prof. Dr. Gerhard Böwering. Use of unique terminologies and insertion of footnotes for the explanation of essential ideas make the translation fascinating as well as easy to understand for the readers. This book aims to introduce the Sufi teachings of Sultan-ul-Arifeen Sultan Bahoo to anyone who is interested in acquiring spirituality and knowledge of Sufism.,['Sultan Bahoo'],2019-02-01,['Religion']
50 Ways to Create Great Relationships: How to Stop Taking and Start Giving,"Learn how to gain a brand-new sense of ownership for all your relationships. Through Chandler's wit and wisdom, readers will learn how to be a creator of great relationships and not just a reactor to circumstances.",['Steve Chandler'],2000,['Family & Relationships']
Rainy's Powwow,A Native American girl attends the traditional powwow where she is expected to choose for herself a specific form of dance and receive her special name.,"['Linda Theresa Raczek', 'Gary Bennett']",1999,['Juvenile Fiction']
Tales of a Long Night: A Novel,"Trying to recover from the physical and emotional wounds of World War II, Edward Allison returns to live with his family, which is dominated by his father, a cynical writer",['Alfred Döblin'],1984,['Fiction']
Pinochle,"Enjoy Pinochle Night with Your Friends and Family! Inside How to Play Pinochle, you’ll find everything you need to master this fun and social game: The Basics of Pinochle Game Play Pinochle Rules for 2- and 3-Player Games Cunning and Tricky Pinochle Strategies The Secrets of Advanced Pinochle Play and much more! Though Pinochle traditionally involves two or four players, you can discover variations for three, six, and eight people. This trick-taking game developed from Bezique, a 18th-century French favorite. Named “Binocle” in French, the German immigrants who brought this game to the U.S. changed the pronunciation to Pinochle. Though this game was outlawed in WWI, it eventually became an American favorite. How to Play Pinochle describes how to set up its unique deck of four suits and six ranks (A, K, Q, J, 10, 9). You’ll discover how to partner up, deal the cards, auction, pass cards, meld, and form groups. When you understand the unique scoring system of Pinochle, you’ll know how and when to take tricks, deal with trump cards, and keep track of your final totals. You’ll even learn special game-winning strategies for bidding, trumps, passing, and more! Don’t miss your turn at this fun and fascinating family card game. Download your copy of How to Play Pinochle today and let the games begin!",['Tim Ander'],2018-02-07,['Games & Activities']
Preschool Lesson Plans,"Presents a comprehensive guide for developing drama curriculum for the preschool classroom and includes activities for stories, fairy tales, moral lessons, and occupations that teach about sharing and being considerate.",['Nina Czitrom'],2004,['Education']
THE SECOND OLDEST PROFESSION: Spies and Spying in the 20th Century.,"This comprehensive history of spies, spying, and the intelligence bureaucracy profiles famous spies and intelligence organizations around the world and addresses the question of whether any spying endeavor ever actually changed the course of history",['Phillip Knightley'],1988,['History']
Five Great Short Stories,"Five exciting tales that epitomize Jack London's mastery of the adventure story: ""The White Silence,"" ""In a Far Country,"" ""An Odyssey of the North,"" ""The Seed of McCoy,"" and ""The Mexican."" Publisher's Note.",['Jack London'],2012-04-30,['Fiction']
Intruder in the dust: A novel,Dramatizes the events that surround the murder of a white man in a volatile Southern community,['William Faulkner'],1991,['Fiction']
Frommer's Alaska 2004,"You'll never fall into the tourist traps when you travel with Frommer's. It's like having a friend show you around, taking you to the places locals like best. Our expert authors have already gone everywhere you might go-- they've done the legwork for you, and they're not afraid to tell it like it is, saving you time and money. No other series offers candid reviews of so many hotels and restaurants in all price ranges. Every Frommer's Travel Guide is up-to-date, with exact prices for everything, dozens of color maps, and exciting coverage of sports, shopping, and nightlife. You'd be lost without us! Completely updated every year (unlike most of the competition), Frommer's Alaska features gorgeous color photos of the spectacular scenery and amazing wildlife that await you in America's last frontier. This extraordinary and detailed guide is personally researched by a lifelong resident, who offers insights into how to discover the real Alaska. You'll find complete details on whale watching, sea kayaking, hiking, salmon fishing, funky small towns, Gold Rush saloons, glaciers, scenic drives, and more. You'll even get an up-to-date cruise planner, a free color fold-out map, and an online directory that makes trip-planning a snap.",['Charles P. Wohlforth'],2003-11-21,['Travel']
"For You, My Sons","This book is a Christian book where most of the parts of the human body have been mentioned with a little description of what their normal functions in the human body are, and spiritual functions. God gave us his Son because he loved us. That is why he gave us so many gifts through the Holy Spirit. 1 Peter 4:10 tells us that every one of us has been given a gift. We should use these gifts for the benefit of the body of Christ. God thought of the world and gave us his son. To function the way God wanted us to, he gave us tools to use. He did not want to impose these tools on us. It is up to each individual to take up these tools and use them. God made them available to us. The book starts off at looking at 1 Corinthians 12. Then all the chapters that follow relate the various parts of the body to how they would function as parts in the body of Christ. The brain and the nervous system as the head. The Skin as the Protection. The muscles and the skeleton as the cover and shape. The ears as the hearing aid and balancing scale. The nose as the sense of smell. The tongue as the fire.. The throat as the antibiotic.The mouth as the gate. The eyes as the miraculous sight. of the body The heart and circulation as the pump or engine. The respiratory system as the air provider. The reproductive system as the maternity. The urinary system as the filtering and drainage system. The endocrine system as the messenger or trouble-shooter. The blood and the immune system as the carrier and defender of the body of Christ.",['Florence Mutambanengwe'],2008-08-26,['Reference']
The Search for 11:11: A Journey into the Spirit World,"Through this book, the reader will discover the 1,111 Spirit Guardians-the indigenous Spirit Helpers of the planet. These extra-ordinary planetary helpers dwell in the realms midway between angel and human, and belong to a group just 1,111 in number. Their 11:11 time-prompts, known to many around the world, are the signals of their presence. They and their human helpmates quietly serve the planet behind the scenes. These interspecies teams have usually gone unrecorded in the annals of history-until now.",['George Mathieu Barnard'],2005-03,"['Body, Mind & Spirit']"
Family Practice Board Review,"Thoroughly updated for its Fourth Edition, this book is a comprehensive review for the American Board of Family Medicine certification and recertification exams. It contains over 1,800 board-format questions, including over 1,000 multiple-choice questions from the major subject areas of family medicine and over 700 questions drawn from 60 clinical problem sets. The book includes a pictorial atlas of clinical photographs, radiographs, and lab smears, with questions regarding these images. Detailed answers and explanations follow the questions. This book includes AMA PRA Category 1 Credit(s)TM sponsored by Lippincott Williams & Wilkins. A companion website includes four practice exams. The website also offers an iPod downloadable audio companion with 120 facts from Bratton's 1000 Facts to Help You Pass the Family Medicine Boards book, with an option to buy more.",['Robert L. Bratton'],2012-03-28,['Medical']
Work and Play in Early Childhood,"This book brings together an international group of researchers reporting on their work about play and early childhood education across 13 countries – Norway, Sweden, Denmark, England, Germany, Hong Kong, United States of America, India, The Maldives, Sri Lanka, Singapore, China and Australia. It contributes to growing international conversations about play and the role of play in early childhood education. Each of the chapters in this anthology reflects different directions in research as well as a range of approaches to reconceptualising play. Each researcher questions assumptions underpinning young children’s play and early childhood education and explores the implications of these questions for further research, practice and policy. Chapters report a wide range of innovative and transformative research, focusing on areas such as the play of infants and toddlers, the role of values in play, the complexity of connections between play and learning, motivation, the role and understandings of early childhood educators in promoting children’s play, risky play and the impact of Westernised approaches to play in different contexts. This book argues for the importance of children’s play at a time when there is a great deal of pressure to increase the academic focus of early education and to eliminate play that could be deemed risky. Several authors note moves towards pedagogies of play and explore the potential links between play and learning in early education settings. The research reported in this book is a timely reminder of the value of play, for and of itself, as well as the learning potential of play. It provides a pathway into the debates about the role and value of play in early years education for students, researchers and policy-makers.","['Ole Fredrik Lillemyr', 'Sue Dockett', 'Bob Perry']",2013-09-01,['Social Science']
The Good Priest's Son,"Chronicles the lives of diverse characters--including Luke McGavock, a man searching for a sense of purpose in life; Corrine Calloway, a mother of twins; and her husband, Russell--whose world is transformed by the catastrophic events of September 11th, 2001.",['Reynolds Price'],2006-11-28,['Fiction']
Anna of the Five Towns (Modern Classics),"Both have as a central character a young girl dominated by a miserly father; both women are wooed for their money, fall in love unsuitably and courageously defy their parents.",['Arnold Bennett'],1984,['City and town life']
They Wrote on Clay: The Babylonian Tablets Speak Today,"Originally published in 1939, this book contains an assessment of the historical evidence provided by ancient Babylonian cuneiform tablets. The text is accompanied by a number of photographs of the tablets, as well as of important archaeological sites and Babylonian artefacts. Chiera's enthusiasm for his subject is clear, as the text is accessibly written and contains many Babylonian legends and assesses their relationship to biblical texts. This book will be of value to anyone with an interest in Assyriology and the ancient Middle East.",['Edward Chiera'],2015-03-12,['History']
"Totline 123 Math: Pre-Math Activities for Working With Young Children (1-2-3 Series, Math: Ages 3-6)","Op een koude novemberdag worden de doorgewinterde rechercheur Maud Mertens en de jonge Kyra Slagter weer samengebracht door een mysterieuze zaak. Twee jonge kinderen verdwijnen op bijna hetzelfde moment. Hoewel de politie met man en macht onderzoek doet, kan dat niet voorkomen dat er de volgende dagen meer kinderen ontvoerd worden. Er is geen enkele connectie tussen de verdwijningen: ze vinden overal in West-Nederland plaats, de kinderen zijn tussen de acht en twaalf jaar oud en er wordt geen losgeld geëist. Diverse Amber Alerts leveren niets op. Hoe meer kinderen verdwijnen, hoe groter de onrust in het land wordt. Voor Mertens vormen de verdwijningen een onwelkome herinnering aan een oude zaak waarin een jong meisje slachtoffer werd. Toch maakt dit juist dat ze verbeten achter de ontvoerders aan gaat. Kyra weet wat het is als een familielid wordt weggerukt en je vol vragen achterblijft: ontvoerd, vermist, vermoord? De zaak spoort haar nog meer aan haar eigen vermiste zus te vinden: vier jaar geleden verdween Sarina, zonder spoor of bericht. Tot Kyra ineens een briefkaart van Sarina ontvangt. IJskoud is het tweede deel in de spannende serie De Noordzeemoorden! 'Een mooie mix van gruwel en Hollandse ""gewoonheid"", onberispelijk en met veel vaart geschreven.' VN Thrillergids over De Noordzeemoorden 1",['Isa Maron'],2014-12-06,['Fiction']
What's a Body to Do: The Breast Cancer Case Manager,"What's a Body To Do? The Breast Cancer Case Manager is part personal narrative, part resource guide, part personal organizer and workbook. It's designed to help newly diagnosed women start coping with their own cancer treatment. Written by a writer who was diagnosed with invasive ductal carcinoma shortly after her 49th birthday, the Case Manager contains all the useful advice and information she received from the people she met on her own journey through Cancerland: doctors, nurses, cancer counselors, social workers, support group members. The Case Manager is organized chronologically, covering diagnosis, surgery, treatment, dealing with health plans, managing mental health, what it means to be a ""survivor"" and more. The key chapters break down into two parts: first the humorous/ironic tale of the author's own experience with highlighted ""tips"" along the way, and second the ""personal organizer."" The organizer contains: annotated resource sections containing a selection of books, groups and Internet sites that provide reliable information without being overwhelming suggested questions to ask doctors diary pages master appointment record address book place to record pathology and test reports chemo and radiation ""symptom journals"" The organizer provides the patient a way to keep all her ""information"" in one place, in a format compact enough to take along whenever she goes to the doctor's office. The narrative is filled with humor--if not exactly laugh-out-loud-so-hard-till-you-cry funny, at least smile-in-understanding, wince-with-the-irony funny. Why? Because studies show that a good laugh is therapeutic, not to mention a very practical defense mechanism that can help anyone get through the terrible and terrifying experience of breast cancer treatment. Despite the hundreds of books about breast cancer on the market, no other book is a case manager. No other single book provides the breast cancer patient a pre-packaged personal organizer to manage her own treatment -- so important when a woman is faced with the myriad, new and often bewildering details of being a cancer patient. The goal of What's a Body To Do? The Breast Cancer Case Manager is to make it easier for women to take back control of their lives and manage their own, unique treatment. Knowledge is power, and the Case Manager provides women the launching pad from which to acquire it. Early reviews: ""Pack up your hopes, a knowledgeable health care team, your social supports, and your spiritual beliefs to bring along on the journey through cancer treatment-you have a wealth of inner strength available to you, which The Breast Cancer Cas",['Lea Susan Chartock'],2002,['Health & Fitness']
Owls and Pussy-cats,"Gruffalo author, Julia Donaldson, revisits Edward Lear's favourite rhyme in this wonderful new story set in a nonsensical land full of adventure. When their beautiful golden ring is stolen, the Owl and the Pussy-cat must travel far from the safety of the Bong-tree glade as their search for the thief leads them across the Sea, to the Chankly Bore and beyond... Full of enchanting lyricism this new rhyme, beautifully illustrated by Charlotte Voake, promises to be as important and successful as the original.",['Julia Donaldson'],2017-07-06,['Cats']
Tizzy,"The eccentric Miss Tizzy, a beloved friend to all the children in her neighborhood, needs their help in remaining happy when she is sick in bed.",['Libba Moore Gray'],1998-04,['Juvenile Fiction']
The New England Table,"This book considers three defining movements driven from London and within the region that describe the experience of the Church of England in New England between 1686 and 1786. It explores the radical imperial political and religious change that occurred in Puritan New England following the late seventeenth-century introduction of a new charter for the Massachusetts Bay Colony, the Anglican Church in Boston and the public declaration of several Yale ‘apostates’ at the 1722 college commencement exercises. These events transformed the religious circumstances of New England and fuelled new attention and interest in London for the national church in early America. The political leadership, controversial ideas and forces in London and Boston during the run-up to and in the course of the War for Independence, was witnessed by and affected the Church of England in New England. The book appeals to students and researchers of English History, British Imperial History, Early American History and Religious History.",['James B. Bell'],2017-10-10,['History']
"Moctezuma's Children: Aztec Royalty under Spanish Rule, 1520-1700","Though the Aztec Empire fell to Spain in 1521, three principal heirs of the last emperor, Moctezuma II, survived the conquest and were later acknowledged by the Spanish victors as reyes naturales (natural kings or monarchs) who possessed certain inalienable rights as Indian royalty. For their part, the descendants of Moctezuma II used Spanish law and customs to maintain and enhance their status throughout the colonial period, achieving titles of knighthood and nobility in Mexico and Spain. So respected were they that a Moctezuma descendant by marriage became Viceroy of New Spain (colonial Mexico's highest governmental office) in 1696. This authoritative history follows the fortunes of the principal heirs of Moctezuma II across nearly two centuries. Drawing on extensive research in both Mexican and Spanish archives, Donald E. Chipman shows how daughters Isabel and Mariana and son Pedro and their offspring used lawsuits, strategic marriages, and political maneuvers and alliances to gain pensions, rights of entailment, admission to military orders, and titles of nobility from the Spanish government. Chipman also discusses how the Moctezuma family history illuminates several larger issues in colonial Latin American history, including women's status and opportunities and trans-Atlantic relations between Spain and its New World colonies.",['Donald E. Chipman'],2010-01-01,['History']
Market-Driven Management: Using The New Marketing Concept to Create a Customer-Oriented Company,"""Providing analysis of the most recent marketing practices, this study summarizes the latest research and the best practices from industry, illustrating innovation which works successfully and marketing practices that have failed""--From www.alibris.com.",['Frederick E. Webster'],1994-04-27,['Business & Economics']
Wren,"'This fascinating biography . . . A perfect Christmas present for any birder' Birdwatching From the BESTSELLING AUTHOR of The Robin: A Biography, STEPHEN MOSS: The wren is a paradox of a bird. They are Britain's most common bird, with 8.5 million breeding pairs and have by far the loudest song in proportion to their size. They also thrive up and down Britain and Ireland: from the smallest city garden to remote offshore islands, blustery moors to chilly mountains.Yet many people are not sure if they have ever seen a wren. Perhaps because the wren is so tiny, weighing just as much as two A4 sheets of paper, and so busy, always on the move, more mouse than bird. However if we cast our eyes back to recent history wrens were a mainstay of literary, cultural and popular history. The wren was on postage stamps and the farthing, it featured in nursery rhymes and greetings cards, poems and rural 'wren hunts', still a recent memory in Ireland particularly. With beautiful illustrations throughout, this captivating year-in-the-life biography reveals the hidden secrets of this fascinating bird that lives right on our doorstep.",['Stephen Moss'],2018-10-25,['Nature']
IT Measurement: Practical Advice from the Experts,"With Contributions by Capers Jones, Howard Rubin, David Garmus, Lawrence Putnam, and Elizabeth Clark The accurate, quantitative measurement of software quality and process performance is rapidly becoming an essential part of competition in the ever-tightening software marketplace. Software metrics provide insights into productivity and quality gains from improvements in skill, technology, and development methodology. An effective metrics program helps practitioners assemble the best team, select the optimal development methodology, and enhance the quality of a software product. In short, metrics enable software developers to pursue proven, successful strategies, and to change course when metrics point to less-than-optimum quality or productivity. Written by the world's leading authorities in the field, IT Measurement showcases state-of-the-art in software metrics and provides the practical knowledge that practitioners need in order to take full advantage of software metrics technology. The book's collected articles offer important perspectives on the role of metrics in the development process, and show how metrics directly enhance software quality and output efficiency. The book explores several vital areas, including Function Point Analysis, project estimation and management, outsourcing, statistical process control, and more. These articles range from basic theory to the sophisticated application of metrics. Specific topics covered include: The expanding role of function point metrics Work output measurement for IT work units The use of metrics for tracking Enhanced estimation with metrics Metrics in outsourcing Standardization of SLOC The application of SPC to performance management Functional metrics in B2B e-commerce project success Enlightening and pragmatic, IT Measurement will help you gain a deeper understanding of software metrics and the ability to apply concrete measures in order to objectively evaluate and more finely shape your software development program. 020174158XB02212002",['International Function Point Users Group'],2002,['Computers']
Practice Makes Perfect (Yoko and Friends-School Days),Yoko helps Timothy learn to play the bells of Sarna so that he can perform a solo in the school talent show.,['Rosemary Wells'],2002-12-01,['Juvenile Fiction']
Not to Be Taken (Black Dagger Crime Series),"The Grand Babylon Hotel in London is an exclusive establishment. Mr Theodore Racksole, an American millionaire, visited with his daughter and bought the place. Events then take an unexpected turn as Theodore and Nella Racksole play detective.",['Arnold Bennett'],2002-01-01,['Fiction']
Seahenge: A Quest for Life and Death in Bronze Age Britain,"One of the most haunting and enigmatic archaeological discoveries of recent times was the uncovering in 1998 at low tide of the so-called Seahenge on the north coast of Norfolk. This circle of wooden planks set vertically in the sand, with a large inverted tree-trunk in the middle, likened to a ghostly ""hand reaching up from the underworld"", has now been dated to around 2020 BC. It focused national attention on archaeology to an extent not seen for many years, and the issues raised by its removal and preservation made it a ""cause celebre"". Francis Pryor has been at the centre of British archaeological fieldwork for nearly 30 years, piecing together the way of life of Bronze Age people, their settlement of the landscape, their religion and rituals. ""Seahenge"" demonstrates how much Western civilization owes to the prehistoric societies that existed in Europe in the last four millennia BC.",['Francis Pryor'],2002,['History']
Dwelling in Possibility: Women Poets and Critics on Poetry (Reading Women Writing),Dwelling in Possibility cuts across conventional boundaries between critical and creative writing by featuring the work of both women poets and feminist critics as they explore and exemplify the relationship between gender and poetic genres. The contributors suggest new ways of thinking and writing about poetry in light of contemporary questions about history and identity. Most of the contributions are published here for the first time.,"['Yopie Prins', 'Maeera Shreiber']",2018-10-18,['Literary Criticism']
Casey at the Bat,"Casey at the Bat, by Ernest Lawrence Thayer, is likely the single most recognized writing on baseball. Originally published in the San Francisco Examiner on June 3, 1888, this timeless piece carries the same popularity over a hundred years later. The beloved Casey, Mudville's finest, displays a confident arrogance while learning an important lesson in humility. In his first published children's book project, illustrator Chris Bell brings new life to this historic tale of America's greatest pastime.",['Ernest L. Thayer'],2013-03-13,['Juvenile Fiction']
The PRS Guitar Book: A Complete History of Paul Reed Smith Guitars,"The PRS Guitar Book details every facet of the wonderful electric guitars made by PRS, the Maryland-based company founded in 1985 by musician and guitar builder Paul Reed Smith. The paperback edition is updated to include all the latest information on the acclaimed Singlecut models, as well as the intriguing story of the Santana SE – the company's first venture into overseas manufacture. An inviting narrative describes the evolution of this internationally renowned guitar maker, while dynamic color photography spotlights outstanding PRS guitars such as the Signature, signed by Smith; the Dragon, sporting opulent shell inlays; the Swamp Ash Special and Rosewood Limited, using non-standard materials; and ultra-rare models from limited and custom runs. Other featured guitars include the latest acoustic-electrics, and the Santana models that celebrate the partnership between PRS guitars and their best-known player, Carlos Santana. A special section highlights the company's famed use of highly patterned maple woods, displaying the most stunning “flame-top” and “quilt-top” examples. This definitive book also provides an absorbing photo-essay on the making of a PRS guitar, plus specifications for identifying and dating PRS instruments.",['Dave Burrluck'],2007-07-01,['Music']
The Practice of Prayer: A Companion Guide,"Christianity is about knowing God, and central to that knowing is the practice of prayer. So it is important for Christians, even those comfortable with prayer, to be stretched to pray beyond the confines of their present patterns. The Practice of Prayer is not merely another book on prayer to read, it is a hands-on experience with prayer. With spiritual exercises at the end of each chapter, this warmly written prayer manual is a companion in the quest for a richer devotional life and a coach for improving every aspect of prayer. With our prayer-resistant pace of life, we tend to restrict prayer to words said, but the process is much deeper. Drawing from the rich history of Christendom, Warren opens up avenues of prayer that extend beyond the verbal. For any believer who longs to break through to authentic, life-changing prayer, this book unearths an abundance of spiritual treasures.",['Robert Warren'],2001-09-01,['Religion']
Operation Sorespot,"Who really killed Dr. Martin Luther King, and why? District Attorney Investigator Jake Shannon never completely believed the government's version of the assassination of Dr. Martin Luther King. Twenty-five years after the assassination, documents surface that support many of his suspicions. These documents are the only evidence to support his theories. Government agents are tipped to Jake's plan to expose the newly discovered papers and he must call upon every skill he has ever learned as a police officer and intelligence officer to beat them to the files.",['Jim Smith'],2002-02-01,['Fiction']
Lady De Lancey at Waterloo: A Story of Duty and Devotion,"The intriguing and authenticated story of the British Army's first professional staff officer, Colonel Sir W H Lancey, and his beautiful Scottish bride, Lady de Lancey.This book includes Lady de Lancey's narrative ""A week at Waterloo in 1815"".",['David M. O. Miller'],2000,['History']
Slaves of Obsession,"The year is 1861. The American Civil War has just begun, and London arms dealer Daniel Alberton is becoming a very wealthy man. His quiet dinner party seems remote indeed from the passions rending America. Yet investigator William Monk and his bride, Hester, sense growing tensions and barely concealed violence. For two of the guests are Americans, each vying to buy Alberton’s armaments. Soon Monk and Hester’s forebodings are fulfilled as one member of the party is brutally murdered and two others disappear– along with Alberton’s entire inventory of weapons. As Monk and Hester track the man they believe to be the murderer all the way to Washington, D.C., and the bloody battlefield at Manassas, Slaves of Obsession twists and turns like a powder-keg fuse and holds the reader breathless and spellbound. . . .",['Anne Perry'],2011-04-27,['Fiction']
The Elton John Keyboard Book,(Keyboard Recorded Versions). This terrific collection features 20 of Elton John's best songs: Bennie and the Jets * Candle in the Wind * Crocodile Rock * Daniel * Don't Go Breaking My Heart * Goodbye Yellow Brick Road * Honky Cat * Rocket Man * Tiny Dancer * and more.,['Elton John'],1993-06-01,['Music']
Life: Enjoy The Ride,"""Have Journals, Will Travel!"" Many seasoned travelers swear by a great trip planning with a strategic itinerary from how much should you spend to plan where to go on your daily trip to the destination. Everything must be laid out in one easy access book that you can easily refer and carry around every day. So here's the done for you travel journals with all the things that you need to fill in to bring to your next adventure! This travel journal is full with all the information needed for travels, great for kids who want to help their parents to stay organized during the vacation and it's a great gift for couples who love to travel together. ***USE AMAZON LOOK INSIDE FEATURE TO CHECK IT OUT*** Book Feature: Travel Bucket List Vacation Planner Packing Checklist Daily Itinerary Travel Information Flight Information Trip Budget Planner Trip To Do List Outfit Planner Packing Checklist and many more! Book Covers and Interior: 100 pages of white interior and it is just nice and not too thick to bring for travels! 8x10 Great size with comfortable space to write Stunning matte cover with paperback",['Traveler Journals Brigade'],2019-03-02,['Travel']
Speed-Reading in Business: Learn to Read Rapidly and Efficiently (50-Minute Series),"Want to stand out from the thousands of other business and management students when you graduate from university? This comprehensive study skills book gives you all the tools and techniques needed to graduate with a better degree than you thought possible. Study Skills for Business and Management is written in an entertaining and non-patronising way and is filled with examples and case studies. With chapters on efficient and effective reading, working in groups, managing and writing essays and succeeding in exams, this textbook is written specifically with business and management students' needs in mind. Key features: Written by an academic and a recent business and management graduate who are in touch with what it is like to study Business and Management today and the challenges students face Based on primary research in to which study skills are the most effective, providing an evidence-based approach that you can trust in and saving you precious time Contains a wealth of current examples from recent business and management graduates, highlighting examples of good practice as well as common pitfalls to avoid An electronic inspection copy is available for instructors.","['Patrick Tissington', 'Christos Orthodoxou']",2013-12-10,['Education']
Oz Clarke's Pocket Wine Guide 2001,"The 2001 edition of Oz Clarke's acclaimed guide is completely updated and laced with his famously witty and opinionated recommendations and warnings about the world's wines. This edition brings even more of Clarke's picks of the best wines in many categories and a look at the new opportunities provided by the Internet. Distinguished particularly by its ease of use, Oz Clarke's Pocket Wine Guide provides more than 1,600 entries covering every aspect of wine today. Clarke's intuitive A-to-Z format ensures that you will find the wine you are looking for, wherever it comes from. In addition, Clarke discusses how wine is made, modern wine styles, storing wines, vintages, and the world of winemaking from Germany to New Zealand.",['Oz Clarke'],2000-11-03,['Wine and wine making']
Of Mice and Men (Penguin Audiobooks),"Penguin Classics presents John Steinbeck’s classic tale as an eBook enhanced with ten exclusive video clips featuring students responses, questions for classroom discussions, and an American Dream assignment Nobel Prize-winner John Steinbeck’s Of Mice and Men remains one of America's most widely read and taught novels. An unlikely pair, George and Lennie, two migrant workers in California during the Great Depression, grasp for their American Dream. Laborers in California's dusty vegetable fields, they hustle work when they can, living a hand-to-mouth existence. For George and Lennie have a plan: to own an acre of land and a shack they can call their own. When they land jobs on a ranch in the Salinas Valley, the fulfillment of their dream seems to be within their grasp. But even George cannot guard Lennie from the provocations, nor predict the consequences of Lennie's unswerving obedience to the things George taught him. Of Mice and Men: Teacher’s Edition includes the following: • An introduction and suggested further reading by Susan Shillinglaw, a professor of English at San Jose State University and Scholar-in-Residence at the National Steinbeck Center in Salinas • The poem “To a Mouse, On Turning Her Up in Her Nest with the Plough, November 1785” by Robert Burns (the original source of Steinbeck’s title Of Mice and Men) • The 1962 Nobel Banquet Speech by John Steinbeck • An exclusive audio interview with award-winning actor James Earl Jones on his stage performances in Of Mice and Men • Ten exclusive videos of students on major themes from the novel tied to group discussion questions included in the eBook, and an American Dream assignment, for the ultimate educational experience",['John Steinbeck'],2013-01-03,['Fiction']
Way Out in the Desert,"A counting book in rhyme presents various desert animals and their children, from a mother horned toad and her little toadie one to a mom tarantula and her little spiders ten. Numerals are hidden in each illustration.","['T. J. Marsh', 'Jennifer Ward', 'Kenneth Spengler']",1998,['Juvenile Fiction']
Market Communism: The Institutional Foundation of China's Post-Mao Hyper-Growth,"In Market Communism, the author investigates the institutional foundations of China's economic hyper-growth in the context of a communist system, contending that China's economy has flourished because of the communist system, and not in spite of it. He advances his thesis by explaining the key elements of China's economic structure - State-owned Enterprises, Township and Village Enterprises, individually owned businesses - and the individuals who drive it, such as the government officials engaged in for-profit business or 'bureaucratic entrepreneurs'. The author also provides an in-depth, theoretical analysis of the socio-political structure underlying the reform process.",['Lance Gore'],1998,['Business & Economics']
Hustler Adult Magazine:February 1983,"""Smutty Little Movies traces the adult film industry's transition from celluloid to home video beginning in the late 1970s alongside an examination of the cultural and legal efforts to regulate, contain, limit, or eradicate pornography. Drawing on a wide variety of materials, Smutty Little Movies de-centers the film text in favor of industrial histories and contexts. In doing so, the book argues that the struggles to contain and regulate pleasure represent a primary entry point for situating adult video's place in a larger history, not just of pornography, but media history as a whole.""--Provided by publisher.",['Peter Alilunas'],2016-08-23,['Performing Arts']
"Electronic Resumes & Online Marketing,: Second Edition (Electronic Resumes & Online Networking)","The Internet and commercial on-line services are the fastest growing employment marketplace in the world with millions of resumes currently on-line. Thousands of companies and headhunters now recruit exclusively on-line because it's faster, cheaper, and global. With this first-of-its-kind book/disk package, you can with fill-in-the-blank ease create and post your resume on-line to successfully compete in today's job market. The enclosed Windows software programs are suitable for all job seekers - college graduates, mid-life career changers, and top executives. Creating and posting an electronic on-line resume is explained in simple, step-by-step, non-technical terms. Use one software program to create an electronic resume for posting on-line in searchable databases, and a second to create a multimedia resume with text and graphics for distribution via E-mail, file transfer, or on disk.","['James C. Gonyea', 'Wayne M. Gonyea']",1996,['Business & Economics']
Betty Crocker 4-Ingredient Dinners,"Presents a delicious array of wholesome, easy-to-prepare recipes for dishes that require just four ingredients, including Glazed Turkey Tenderloins, SKillet Apple Butter Pork Chops, Mustard Lamb Chops, and many others, all enhanced by full-color photographs, nutrition information, and handy kitchen tips and notes. 50,000 first printing.",['Betty Crocker'],2003,['Cooking']
My Mother's Garden,"A selection of thirty-seven articles and essays by the Pulitzer Prize-winning writer includes reviews of other noted authors, reports on Cuba, the civil rights and peace movements, and autobiographical anecdotes",['Alice Walker'],1983,['Social Science']
What Shall We Do Without Us?: The Voice and Vision of Kenneth Patchen,Gathers picture poems by the Ohio-born writer and artist and offers a brief appreciation of Patchen and his work,"['Kenneth Patchen', 'James Laughlin']",1984,['Poetry']
Rethinking the Chess Pieces,"Professionals know that during the course of a game, the value of chess pieces change. And they use this knowledge to decide which pieces to exchange--and when. International grandmaster Andrew Soltis, the author of Bobby Fischer Rediscovered, helps pass this important information on to novices so they can benefit, too. He investigates why the traditional ""chart of relative values"" or computer analysis so often fails to explain why certain trades and sacrifices work and others just don't. All the typical decisions a player has to make, such as whether to swap two minor pieces for rook and pawn, receive detailed scrutiny. Players will appreciate the insightful analysis.",['Andy Soltis'],2005-02-28,['Games']
